drug_name,ndcnum
ciprofloxacin,45865053060
ciprofloxacin,45865053090
ciprofloxacin,47463006820
ciprofloxacin,49884063701
ciprofloxacin,49884063705
ciprofloxacin,49884063774
ciprofloxacin,49884063801
ciprofloxacin,49884063805
ciprofloxacin,49884063874
ciprofloxacin,49884063903
ciprofloxacin,49884063905
ciprofloxacin,49884063974
ciprofloxacin,49999006104
ciprofloxacin,49999006107
ciprofloxacin,49999006110
ciprofloxacin,49999006114
ciprofloxacin,49999006120
ciprofloxacin,49999006125
ciprofloxacin,49999033306
ciprofloxacin,49999033310
ciprofloxacin,49999033314
ciprofloxacin,49999033320
ciprofloxacin,49999033400
ciprofloxacin,49999033401
ciprofloxacin,49999033406
ciprofloxacin,49999033410
ciprofloxacin,49999033414
ciprofloxacin,49999033420
ciprofloxacin,49999033428
ciprofloxacin,49999033430
ciprofloxacin,49999069905
ciprofloxacin,49999069925
ciprofloxacin,50383028202
ciprofloxacin,50383028205
ciprofloxacin,50383028210
ciprofloxacin,50419075401
ciprofloxacin,50419075801
ciprofloxacin,50419075901
ciprofloxacin,50419077301
ciprofloxacin,50419077701
ciprofloxacin,50419078801
ciprofloxacin,50419078901
ciprofloxacin,50436021001
ciprofloxacin,50436513001
ciprofloxacin,50436604101
ciprofloxacin,50436604102
ciprofloxacin,51079018101
ciprofloxacin,51079018120
ciprofloxacin,51079018201
ciprofloxacin,51079018220
ciprofloxacin,51079021801
ciprofloxacin,51079021820
ciprofloxacin,51079023301
ciprofloxacin,51079023320
ciprofloxacin,51079023420
ciprofloxacin,51079040201
ciprofloxacin,51079040220
ciprofloxacin,51079040301
ciprofloxacin,51079040320
ciprofloxacin,51552122905
ciprofloxacin,51655011584
ciprofloxacin,51655011587
ciprofloxacin,51655011820
ciprofloxacin,51655011829
ciprofloxacin,51655011847
ciprofloxacin,51655011852
ciprofloxacin,51655011853
ciprofloxacin,51655011884
ciprofloxacin,51655011887
ciprofloxacin,51655052502
ciprofloxacin,51655052506
ciprofloxacin,51655053784
ciprofloxacin,51655053787
ciprofloxacin,51672408500
ciprofloxacin,51672408501
ciprofloxacin,51672408600
ciprofloxacin,51672408601
ciprofloxacin,51672408700
ciprofloxacin,51672408704
ciprofloxacin,51927363400
ciprofloxacin,52372064201
ciprofloxacin,52372064202
ciprofloxacin,52372064203
ciprofloxacin,52555076901
ciprofloxacin,52555077001
ciprofloxacin,52555077101
ciprofloxacin,52555077150
ciprofloxacin,52959001300
ciprofloxacin,52959003606
ciprofloxacin,52959003610
ciprofloxacin,52959003614
ciprofloxacin,52959003615
ciprofloxacin,52959003620
ciprofloxacin,52959003628
ciprofloxacin,52959003630
ciprofloxacin,52959003714
ciprofloxacin,52959003720
ciprofloxacin,52959017106
ciprofloxacin,52959017110
ciprofloxacin,52959017114
ciprofloxacin,52959017120
ciprofloxacin,52959017128
ciprofloxacin,52959055705
ciprofloxacin,52959072510
ciprofloxacin,52959073000
ciprofloxacin,52959073004
ciprofloxacin,52959073006
ciprofloxacin,52959073010
ciprofloxacin,52959073014
ciprofloxacin,52959073015
ciprofloxacin,52959073020
ciprofloxacin,52959073021
ciprofloxacin,52959073028
ciprofloxacin,52959073030
ciprofloxacin,52959073060
ciprofloxacin,52959073420
ciprofloxacin,52959073430
ciprofloxacin,52959073460
ciprofloxacin,52959073510
ciprofloxacin,52959073906
ciprofloxacin,52959073910
ciprofloxacin,52959073914
ciprofloxacin,52959073920
ciprofloxacin,52959073930
ciprofloxacin,52959076014
ciprofloxacin,52959076015
ciprofloxacin,52959085507
ciprofloxacin,52959121900
ciprofloxacin,53217007401
ciprofloxacin,53217018601
ciprofloxacin,53217018602
ciprofloxacin,53217018606
ciprofloxacin,53217018607
ciprofloxacin,53217018610
ciprofloxacin,53217018613
ciprofloxacin,53217018614
ciprofloxacin,53217018616
ciprofloxacin,53217018620
ciprofloxacin,53217018624
ciprofloxacin,53217018628
ciprofloxacin,53217018630
ciprofloxacin,53217018642
ciprofloxacin,53217018660
ciprofloxacin,54569164800
ciprofloxacin,54569164803
ciprofloxacin,54569164804
ciprofloxacin,54569164805
ciprofloxacin,54569164806
ciprofloxacin,54569164807
ciprofloxacin,54569172300
ciprofloxacin,54569172301
